PG.Genes	PG.ProteinAccessions	PG.ProteinDescriptions	PG.ProteinNames	PG.Qvalue	gene_id	gene_chr	gene_start_hg38	gene_end_hg38	strand
RAB18	Q9NP72	Ras-related protein Rab-18	RAB18_HUMAN	9.77e-14	22931	10	27504174	27542237	+
RAB1A	P62820	Ras-related protein Rab-1A	RAB1A_HUMAN	7.1e-19	5861	2	65086854	65130301	-
RAB1B	Q9H0U4	Ras-related protein Rab-1B	RAB1B_HUMAN	1.04e-13	81876	11	66268585	66277492	+
RAB21	Q9UL25	Ras-related protein Rab-21	RAB21_HUMAN	3.79e-23	23011	12	71754850	71787370	+
RAB22A	Q9UL26	Ras-related protein Rab-22A	RB22A_HUMAN	9.16e-07	57403	20	58309715	58367507	+
RAB23	Q9ULC3	Ras-related protein Rab-23	RAB23_HUMAN	6.46e-17	51715	6	57186992	57222314	-
RAB24	Q969Q5	Ras-related protein Rab-24	RAB24_HUMAN	0.000376994	53917	5	177301190	177303744	-
RAB25	P57735	Ras-related protein Rab-25	RAB25_HUMAN	3.79e-23	57111	1	156061175	156070504	+
RAB27A	P51159	Ras-related protein Rab-27A	RB27A_HUMAN	1.03e-05	5873	15	55202966	55289828	-
RAB27B	O00194	Ras-related protein Rab-27B	RB27B_HUMAN	1.76e-07	5874	18	54717866	54895516	+
RAB28	P51157	Ras-related protein Rab-28	RAB28_HUMAN	0.00283369	9364	4	13296017	13484365	-
RAB2A	P61019	Ras-related protein Rab-2A	RAB2A_HUMAN	3.79e-23	5862	8	60516910	60623644	+
RAB31	Q13636	Ras-related protein Rab-31	RAB31_HUMAN	1.13e-05	11031	18	9708231	9862556	+
RAB32	Q13637	Ras-related protein Rab-32	RAB32_HUMAN	1.14e-06	10981	6	146543692	146554950	+
RAB33B	Q9H082	Ras-related protein Rab-33B	RB33B_HUMAN	0.000139792	83452	4	139453232	139475916	+
RAB34	Q9BZG1	Ras-related protein Rab-34	RAB34_HUMAN	1.84e-19	83871	17	28714281	28718268	-
RAB35	Q15286	Ras-related protein Rab-35	RAB35_HUMAN	6.46e-08	11021	12	120095094	120116839	-
RAB38	P57729	Ras-related protein Rab-38	RAB38_HUMAN	9.51e-11	23682	11	88113247	88175467	-
RAB3D	O95716	Ras-related protein Rab-3D	RAB3D_HUMAN	1.22e-06	9545	19	11322046	11339668	-
RAB3GAP1	Q15042	Rab3 GTPase-activating protein catalytic subunit	RB3GP_HUMAN	3.76e-05	22930	2	135052265	135175584	+
RAB3GAP2	Q9H2M9	Rab3 GTPase-activating protein non-catalytic subunit	RBGPR_HUMAN	6.94e-07	25782	1	220148268	220272501	-
RAB40B;RAB40C	Q12829;Q96S21	Ras-related protein Rab-40B;Ras-related protein Rab-40C	RB40B_HUMAN;RB40C_HUMAN	0.009656063					
RAB4A	P20338	Ras-related protein Rab-4A	RAB4A_HUMAN	4.34e-13	5867	1	229271062	229305894	+
RAB4B	P61018	Ras-related protein Rab-4B	RAB4B_HUMAN	2.38e-05	53916	19	40778219	40796944	+
RAB5A	P20339	Ras-related protein Rab-5A	RAB5A_HUMAN	2.17e-20	5868	3	19947080	19985175	+
RAB5B	P61020	Ras-related protein Rab-5B	RAB5B_HUMAN	4.85e-06	5869	12	55973913	55996683	+
RAB5C	P51148	Ras-related protein Rab-5C	RAB5C_HUMAN	5.06e-21	5878	17	42124976	42155044	-
RAB6A	P20340	Ras-related protein Rab-6A	RAB6A_HUMAN	9.36e-10	5870	11	73675638	73761156	-
RAB7A	P51149	Ras-related protein Rab-7a	RAB7A_HUMAN	2.69e-14	7879	3	128726136	128814798	+
RAB7B	Q96AH8	Ras-related protein Rab-7b	RAB7B_HUMAN	1.11e-06	338382	1	205976740	206003495	-
RAB8B	Q92930	Ras-related protein Rab-8B	RAB8B_HUMAN	1.45e-10	51762	15	63189529	63267776	+
RAB9A	P51151	Ras-related protein Rab-9A	RAB9A_HUMAN	8.06e-07	9367	X	13689121	13709825	+
RAB9B	Q9NP90	Ras-related protein Rab-9B	RAB9B_HUMAN	1.19e-13	51209	X	103822325	103832282	-
RABEP1	Q15276	Rab GTPase-binding effector protein 1	RABE1_HUMAN	0.000114345	9135	17	5282263	5386340	+
RABEP2	Q9H5N1	Rab GTPase-binding effector protein 2	RABE2_HUMAN	1.69e-06	79874	16	28904421	28925211	-
RABGAP1	Q9Y3P9	Rab GTPase-activating protein 1	RBGP1_HUMAN	0.0003972	23637	9	122941009	123104868	+
RABGAP1L	Q5R372	Rab GTPase-activating protein 1-like	RBG1L_HUMAN	0.000395238	9910	1	174159414	174995308	+
RABGEF1	Q9UJ41	Rab5 GDP/GTP exchange factor	RABX5_HUMAN	0.000157781	27342	7	66682091	66811464	+
RABGGTA	Q92696	Geranylgeranyl transferase type-2 subunit alpha	PGTA_HUMAN	2.7e-10	5875	14	24265538	24271627	-
RABGGTB	P53611	Geranylgeranyl transferase type-2 subunit beta	PGTB2_HUMAN	0.000122299	5876	1	75786194	75795090	+
RABIF	P47224	Guanine nucleotide exchange factor MSS4	MSS4_HUMAN	4.64e-09	5877	1	202878282	202889257	-
RABL6	Q3YEC7	Rab-like protein 6	RABL6_HUMAN	3.89e-05	55684	9	136807922	136841187	+
RAC1	P63000	Ras-related C3 botulinum toxin substrate 1	RAC1_HUMAN	1.12e-13	5879	7	6374495	6403967	+
RAC2	P15153	Ras-related C3 botulinum toxin substrate 2	RAC2_HUMAN	6.75e-10	5880	22	37225261	37244299	-
RACK1	P63244	Receptor of activated protein C kinase 1	RACK1_HUMAN	7.31e-14					
RAD21	O60216	Double-strand-break repair protein rad21 homolog	RAD21_HUMAN	2.54e-10	5885	8	116845934	116874866	-
RAD23A	P54725	UV excision repair protein RAD23 homolog A	RD23A_HUMAN	2.49e-05	5886	19	12945814	12953643	+
RAD23B	P54727	UV excision repair protein RAD23 homolog B	RD23B_HUMAN	1.55e-08	5887	9	107283236	107332194	+
RAD50	Q92878	DNA repair protein RAD50	RAD50_HUMAN	7.21e-18	10111	5	132556924	132644621	+
RAE1	P78406	mRNA export factor RAE1	RAE1L_HUMAN	2.08e-19	8480	20	57351089	57378463	+
RAI14	Q9P0K7	Ankycorbin	RAI14_HUMAN	5.18e-09	26064	5	34656328	34832612	+
RALA	P11233	Ras-related protein Ral-A	RALA_HUMAN	2.25e-14	5898	7	39622955	39708124	+
RALB	P11234	Ras-related protein Ral-B	RALB_HUMAN	9.47e-05	5899	2	120240070	120294711	+
RALBP1	Q15311	RalA-binding protein 1	RBP1_HUMAN	1.53e-05	10928	18	9475532	9538108	+
RALGAPA1	Q6GYQ0	Ral GTPase-activating protein subunit alpha-1	RGPA1_HUMAN	0.000935082	253959	14	35538352	35809304	-
RALGAPA2	Q2PPJ7	Ral GTPase-activating protein subunit alpha-2	RGPA2_HUMAN	2.44e-05	57186	20	20389558	20712638	-
RALGAPB	Q86X10	Ral GTPase-activating protein subunit beta	RLGPB_HUMAN	1.53e-07	57148	20	38472806	38578861	+
RALY	Q9UKM9	RNA-binding protein Raly	RALY_HUMAN	3.79e-23	22913	20	33993652	34083185	+
RAN	P62826	GTP-binding nuclear protein Ran	RAN_HUMAN	3.33e-14	5901	12	130871994	130877678	+
RANBP1	P43487	Ran-specific GTPase-activating protein	RANG_HUMAN	8.84e-09	5902	22	20115938	20127357	+
RANBP10	Q6VN20	Ran-binding protein 10	RBP10_HUMAN	0.004961939	57610	16	67723070	67806652	-
RANBP2	P49792	E3 SUMO-protein ligase RanBP2	RBP2_HUMAN	1.76e-15	5903	2	108719446	108785811	+
RANBP3	Q9H6Z4	Ran-binding protein 3	RANB3_HUMAN	5.93e-09	8498	19	5916139	5978309	-
RANBP6	O60518	Ran-binding protein 6	RNBP6_HUMAN	1.73e-11	26953	9	6011019	6015640	-
RANBP9	Q96S59	Ran-binding protein 9	RANB9_HUMAN	0.000103466	10048	6	13621498	13711580	-
RANGAP1	P46060	Ran GTPase-activating protein 1	RAGP1_HUMAN	5.24e-23	5905	22	41244777	41302210	-
RAP1A	P62834	Ras-related protein Rap-1A	RAP1A_HUMAN	6.97e-12	5906	1	111619783	111716695	+
RAP1B	P61224	Ras-related protein Rap-1b	RAP1B_HUMAN	8.28e-17	5908	12	68610839	68660605	+
RAP1GDS1	P52306	Rap1 GTPase-GDP dissociation stimulator 1	GDS1_HUMAN	3.79e-23	5910	4	98261376	98443861	+
RAP2A	P10114	Ras-related protein Rap-2a	RAP2A_HUMAN	6.64e-05	5911	13	97434221	97467998	+
RAPGEF1	Q13905	Rap guanine nucleotide exchange factor 1	RPGF1_HUMAN	7.07e-06	2889	9	131576770	131739944	-
RAPGEFL1	Q9UHV5	Rap guanine nucleotide exchange factor-like 1	RPGFL_HUMAN	0.00463906	51195	17	40177010	40195656	+
RAPH1	Q70E73	Ras-associated and pleckstrin homology domains-containing protein 1	RAPH1_HUMAN	0.003244432	65059	2	203433682	203535335	-
RARG	P13631	Retinoic acid receptor gamma	RARG_HUMAN	9.73e-06	5916	12	53210566	53232256	-
RARRES1	P49788	Retinoic acid receptor responder protein 1	TIG1_HUMAN	0.000287145	5918	3	158696892	158732691	-
RARRES2	Q99969	Retinoic acid receptor responder protein 2	RARR2_HUMAN	0.000184049	5919	7	150338318	150341674	-
RARS1	P54136	"Arginine--tRNA ligase, cytoplasmic"	SYRC_HUMAN	3.79e-23					
RASA1	P20936	Ras GTPase-activating protein 1	RASA1_HUMAN	2.1e-12	5921	5	87267801	87391926	+
RASA3	Q14644	Ras GTPase-activating protein 3	RASA3_HUMAN	0.000217884	22821	13	113977783	114132620	-
RASAL1	O95294	RasGAP-activating-like protein 1	RASL1_HUMAN	2.43e-08	8437	12	113098819	113136239	-
RASAL3	Q86YV0	RAS protein activator like-3	RASL3_HUMAN	0.000397724	64926	19	15451624	15464571	-
RASGRP2	Q7LDG7	RAS guanyl-releasing protein 2	GRP2_HUMAN	2.41e-07	10235	11	64726911	64745456	-
RASIP1	Q5U651	Ras-interacting protein 1	RAIN_HUMAN	0.00319512	54922	19	48720585	48740813	-
RASSF2	P50749	Ras association domain-containing protein 2	RASF2_HUMAN	0.000271722	9770	20	4780023	4823645	-
RAVER1	Q8IY67	Ribonucleoprotein PTB-binding 1	RAVR1_HUMAN	0.001802937	125950	19	10316212	10333638	-
RB1	P06400	Retinoblastoma-associated protein	RB_HUMAN	0.00421808	5925	13	48303747	48481890	+
RB1CC1	Q8TDY2	RB1-inducible coiled-coil protein 1	RBCC1_HUMAN	4.85e-05	9821	8	52622458	52714466	-
RBBP4	Q09028	Histone-binding protein RBBP4	RBBP4_HUMAN	2.56e-14	5928	1	32651148	32686211	+
RBBP7	Q16576	Histone-binding protein RBBP7	RBBP7_HUMAN	2.8e-11	5931	X	16844650	16870442	-
RBCK1	Q9BYM8	RanBP-type and C3HC4-type zinc finger-containing protein 1	HOIL1_HUMAN	0.000152471	10616	20	408065	430966	+
RBFOX2;RBFOX1	O43251;Q9NWB1	RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1	RFOX2_HUMAN;RFOX1_HUMAN	1.68e-06					
RBKS	Q9H477	Ribokinase	RBSK_HUMAN	0.006494614	64080	2	27781364	27890396	-
RBM12	Q9NTZ6	RNA-binding protein 12	RBM12_HUMAN	2.17e-16	10137	20	35648925	35664956	-
RBM12B	Q8IXT5	RNA-binding protein 12B	RB12B_HUMAN	3.66e-11	389677	8	93731500	93741012	-
RBM14	Q96PK6	RNA-binding protein 14	RBM14_HUMAN	1.9e-11	10432	11	66616582	66629934	+
RBM15	Q96T37	RNA-binding protein 15	RBM15_HUMAN	0.003131909	64783	1	110338426	110373218	+
RBM15B	Q8NDT2	Putative RNA-binding protein 15B	RB15B_HUMAN	0.008014215	29890	3	51391268	51397908	+
RBM17	Q96I25	Splicing factor 45	SPF45_HUMAN	4.05e-06	84991	10	6088986	6117459	+
RBM19	Q9Y4C8	Probable RNA-binding protein 19	RBM19_HUMAN	0.000172166	9904	12	113816738	113966371	-
RBM22	Q9NW64	Pre-mRNA-splicing factor RBM22	RBM22_HUMAN	2.92e-09	55696	5	150690790	150701107	-
RBM25	P49756	RNA-binding protein 25	RBM25_HUMAN	1.99e-10	58517	14	73058436	73121368	+
RBM26	Q5T8P6	RNA-binding protein 26	RBM26_HUMAN	3.16e-06	64062	13	79311827	79406258	-
RBM27	Q9P2N5	RNA-binding protein 27	RBM27_HUMAN	5.14e-05	54439	5	146203550	146289223	+
RBM28	Q9NW13	RNA-binding protein 28	RBM28_HUMAN	0.000712671	55131	7	128310383	128343913	-
RBM3	P98179	RNA-binding protein 3	RBM3_HUMAN	3.81e-10	5935	X	48574353	48581165	+
RBM39	Q14498	RNA-binding protein 39	RBM39_HUMAN	2.24e-19	9584	20	35703609	35742336	-
RBM4	Q9BWF3	RNA-binding protein 4	RBM4_HUMAN	5.81e-11	5936	11	66638617	66668385	+
RBM5	P52756	RNA-binding protein 5	RBM5_HUMAN	1.43e-05	10181	3	50088908	50118964	+
RBM7	Q9Y580	RNA-binding protein 7	RBM7_HUMAN	0.000170801	10179	11	114400529	114410610	+
RBM8A	Q9Y5S9	RNA-binding protein 8A	RBM8A_HUMAN	5.96e-05	9939	1	145921556	145927536	-
RBMS1	P29558	"RNA-binding motif, single-stranded-interacting protein 1"	RBMS1_HUMAN	6.22e-13	5937	2	160272151	160493856	-
RBMX;RBMXL1	P38159;Q96E39	"RNA-binding motif protein, X chromosome;RNA binding motif protein, X-linked-like-1"	RBMX_HUMAN;RMXL1_HUMAN	2.21e-08					
RBP1	P09455	Retinol-binding protein 1	RET1_HUMAN	1.16e-09	5947	3	139517434	139539829	-
RBP4	P02753	Retinol-binding protein 4	RET4_HUMAN	6.07e-07	5950	10	93591836	93601236	-
RBP5	P82980	Retinol-binding protein 5	RET5_HUMAN	2.63e-09	83758	12	7119074	7130236	-
RBP7	Q96R05	Retinoid-binding protein 7	RET7_HUMAN	0.000103764	116362	1	9997197	10016020	+
RBPJ	Q06330	Recombining binding protein suppressor of hairless	SUH_HUMAN	3.38e-10	3516	4	26163494	26435131	+
RBPMS	Q93062	RNA-binding protein with multiple splicing	RBPMS_HUMAN	1.51e-06	11030	8	30384465	30572261	+
RBSN	Q9H1K0	Rabenosyn-5	RBNS5_HUMAN	0.002004276	64145	3	15070069	15099157	-
RBX1	P62877	E3 ubiquitin-protein ligase RBX1	RBX1_HUMAN	0.008390517	9978	22	40951347	40973015	+
RCC1	P18754	Regulator of chromosome condensation	RCC1_HUMAN	8.41e-16	1104	1	28505943	28539196	+
RCC2	Q9P258	Protein RCC2	RCC2_HUMAN	1.09e-13	55920	1	17406755	17439754	-
RCL1	Q9Y2P8	RNA 3'-terminal phosphate cyclase-like protein	RCL1_HUMAN	3.92e-12	10171	9	4792834	4861077	+
RCN1	Q15293	Reticulocalbin-1	RCN1_HUMAN	6.83e-21	5954	11	32090931	32105726	+
RCN2	Q14257	Reticulocalbin-2	RCN2_HUMAN	0.003812597	5955	15	76931621	76950260	+
RCN3	Q96D15	Reticulocalbin-3	RCN3_HUMAN	2.79e-18	57333	19	49527579	49543638	+
RCOR1	Q9UKL0	REST corepressor 1	RCOR1_HUMAN	0.000214644	23186	14	102592639	102730576	+
RDH10	Q8IZV5	Retinol dehydrogenase 10	RDH10_HUMAN	0.005904423	157506	8	73294602	73325285	+
RDH11	Q8TC12	Retinol dehydrogenase 11	RDH11_HUMAN	3.1e-17	51109	14	67676800	67695793	-
RDH12	Q96NR8	Retinol dehydrogenase 12	RDH12_HUMAN	1.96e-14	145226	14	67701886	67734451	+
RDH13	Q8NBN7	Retinol dehydrogenase 13	RDH13_HUMAN	3.8e-11	112724	19	55041319	55069774	-
RDH14	Q9HBH5	Retinol dehydrogenase 14	RDH14_HUMAN	3.52e-13	57665	2	18554723	18560693	-
RDX	P35241	Radixin	RADI_HUMAN	3.79e-23	5962	11	110174880	110296712	-
RECQL	P46063	ATP-dependent DNA helicase Q1	RECQ1_HUMAN	3.19e-15	5965	12	21468910	21501669	-
REEP5	Q00765	Receptor expression-enhancing protein 5	REEP5_HUMAN	5.06e-05	7905	5	112876384	112922334	-
REL	Q04864	Proto-oncogene c-Rel	REL_HUMAN	0.00030138	5966	2	60881495	60928171	+
RELA	Q04206	Transcription factor p65	TF65_HUMAN	3.79e-23	5970	11	65653596	65662972	-
RELCH	Q9P260	RAB11-binding protein RELCH	RELCH_HUMAN	2.89e-06					
RENBP	P51606	N-acylglucosamine 2-epimerase	RENBP_HUMAN	3.45e-07	5973	X	153935269	153944780	-
REPS1	Q96D71	RalBP1-associated Eps domain-containing protein 1	REPS1_HUMAN	6.17e-16	85021	6	138904015	138988282	-
RER1	O15258	Protein RER1	RER1_HUMAN	1.35e-12	11079	1	2391314	2405444	+
RETN	Q9HD89	Resistin	RETN_HUMAN	8.09e-11	56729	19	7669086	7670454	+
RETREG2	Q8NC44	Reticulophagy regulator 2	RETR2_HUMAN	0.000165672					
RETREG3	Q86VR2	Reticulophagy regulator 3	RETR3_HUMAN	4.89e-05					
RETSAT	Q6NUM9	"All-trans-retinol 13,14-reductase"	RETST_HUMAN	1.78e-17	54884	2	85341955	85354698	-
REXO2	Q9Y3B8	"Oligoribonuclease, mitochondrial"	ORN_HUMAN	7.57e-12	25996	11	114439386	114450279	+
RFC2	P35250	Replication factor C subunit 2	RFC2_HUMAN	2.64e-06	5982	7	74231485	74254458	-
RFC3	P40938	Replication factor C subunit 3	RFC3_HUMAN	0.000275985	5983	13	33818049	33973946	+
RFC4	P35249	Replication factor C subunit 4	RFC4_HUMAN	0.00017541	5984	3	186789892	186806695	-
RFC5	P40937	Replication factor C subunit 5	RFC5_HUMAN	9.87e-07	5985	12	118016701	118033564	+
RFESD	Q8TAC1	Rieske domain-containing protein	RFESD_HUMAN	1.97e-05	317671	5	95646741	95658082	+
RFLNB	Q8N5W9	Refilin-B	RFLB_HUMAN	0.000316007					
RFT1	Q96AA3	Protein RFT1 homolog	RFT1_HUMAN	9.13e-05	91869	3	53071152	53130459	-
RFTN1	Q14699	Raftlin	RFTN1_HUMAN	2.05e-08	23180	3	16315845	16513715	-
RGL2	O15211	Ral guanine nucleotide dissociation stimulator-like 2	RGL2_HUMAN	0.000397202	5863	6	33291654	33299452	-
RGN	Q15493	Regucalcin	RGN_HUMAN	0.000118647	9104	X	47078355	47093314	+
RGS10	O43665	Regulator of G-protein signaling 10	RGS10_HUMAN	0.000113117	6001	10	119499827	119542710	-
RGS12	O14924	Regulator of G-protein signaling 12	RGS12_HUMAN	0.005988092	6002	4	3292978	3439913	+
RGS14	O43566	Regulator of G-protein signaling 14	RGS14_HUMAN	0.008809495	10636	5	177357711	177372601	+
RGS19	P49795	Regulator of G-protein signaling 19	RGS19_HUMAN	0.000121698	10287	20	64073181	64080003	-
RHAG	Q02094	Ammonium transporter Rh type A	RHAG_HUMAN	7.84e-05	6005	6	49605175	49636874	-
RHCE;RHD	P18577;Q02161	Blood group Rh(CE) polypeptide;Blood group Rh(D) polypeptide	RHCE_HUMAN;RHD_HUMAN	8.41e-13					
RHEB	Q15382	GTP-binding protein Rheb	RHEB_HUMAN	3.49e-05	6009	7	151466012	151519924	-
RHOC;RHOA	P08134;P61586	Rho-related GTP-binding protein RhoC;Transforming protein RhoA	RHOC_HUMAN;RHOA_HUMAN	2.47e-08					
RHOG	P84095	Rho-related GTP-binding protein RhoG	RHOG_HUMAN	3.79e-23	391	11	3826978	3840983	-
RHOT1	Q8IXI2	Mitochondrial Rho GTPase 1	MIRO1_HUMAN	1.99e-09	55288	17	32142454	32253374	+
RHOT2	Q8IXI1	Mitochondrial Rho GTPase 2	MIRO2_HUMAN	1.16e-18	89941	16	668083	674174	+
RIC8A	Q9NPQ8	Synembryn-A	RIC8A_HUMAN	4.47e-06	60626	11	207511	215175	+
RIDA	P52758	2-iminobutanoate/2-iminopropanoate deaminase	RIDA_HUMAN	1.28e-12					
RILP	Q96NA2	Rab-interacting lysosomal protein	RILP_HUMAN	0.006352367	83547	17	1646150	1650098	-
RIN1	Q13671	Ras and Rab interactor 1	RIN1_HUMAN	5.13e-05	9610	11	66332064	66337133	-
RING1	Q06587	E3 ubiquitin-protein ligase RING1	RING1_HUMAN	7.94e-10	6015	6	33208509	33212722	+
RINT1	Q6NUQ1	RAD50-interacting protein 1	RINT1_HUMAN	0.000169696	60561	7	105532085	105567678	+
RIOX2	Q8IUF8	Ribosomal oxygenase 2	RIOX2_HUMAN	0.000596034					
RIPK1	Q13546	Receptor-interacting serine/threonine-protein kinase 1	RIPK1_HUMAN	3.79e-23	8737	6	3063967	3115187	+
RIPOR1	Q6ZS17	Rho family-interacting cell polarization regulator 1	RIPR1_HUMAN	0.000421134					
RMC1	Q96DM3	Regulator of MON1-CCZ1 complex	RMC1_HUMAN	0.000479689					
RMDN1	Q96DB5	Regulator of microtubule dynamics protein 1	RMD1_HUMAN	9.68e-10	51115	8	86467398	86514338	-
RMDN2	Q96LZ7	Regulator of microtubule dynamics protein 2	RMD2_HUMAN	1.15e-10	151393	2	37920845	38069970	+
RMDN3	Q96TC7	Regulator of microtubule dynamics protein 3	RMD3_HUMAN	3.69e-12	55177	15	40735884	40755336	-
RMND1	Q9NWS8	Required for meiotic nuclear division protein 1 homolog	RMND1_HUMAN	0.000145748	55005	6	151404761	151452181	-
RMND5A	Q9H871	E3 ubiquitin-protein transferase RMND5A	RMD5A_HUMAN	0.000288928	64795	2	86720291	86778041	+
RNASE2	P10153	Non-secretory ribonuclease	RNAS2_HUMAN	1.95e-10	6036	14	20955471	20956435	+
RNASE3	P12724	Eosinophil cationic protein	ECP_HUMAN	1.79e-12	6037	14	20891403	20892348	+
RNASE7	Q9H1E1	Ribonuclease 7	RNAS7_HUMAN	0.000149125	84659	14	21042226	21044233	+
RNASEH2A	O75792	Ribonuclease H2 subunit A	RNH2A_HUMAN	6.07e-05	10535	19	12802054	12813648	+
RNASEH2C	Q8TDP1	Ribonuclease H2 subunit C	RNH2C_HUMAN	0.009289433	84153	11	65717673	65720938	-
RNASEL	Q05823	2-5A-dependent ribonuclease	RN5A_HUMAN	0.001277018	6041	1	182573634	182589285	-
RNASET2	O00584	Ribonuclease T2	RNT2_HUMAN	1.26e-08	8635	6	166929516	166956589	-
RND3	P61587	Rho-related GTP-binding protein RhoE	RND3_HUMAN	0.006232235	390	2	150468193	150487695	-
RNF123	Q5XPI4	E3 ubiquitin-protein ligase RNF123	RN123_HUMAN	2.84e-07	63891	3	49689143	49721529	+
RNF14	Q9UBS8	E3 ubiquitin-protein ligase RNF14	RNF14_HUMAN	0.00212876	9604	5	141966837	141990291	+
RNF170	Q96K19	E3 ubiquitin-protein ligase RNF170	RN170_HUMAN	3.77e-06	81790	8	42849637	42897931	-
RNF20	Q5VTR2	E3 ubiquitin-protein ligase BRE1A	BRE1A_HUMAN	0.00031989	56254	9	101533849	101563344	+
RNF213	Q63HN8	E3 ubiquitin-protein ligase RNF213	RN213_HUMAN	1.45e-06	57674	17	80260840	80398786	+
RNF26	Q9BY78	E3 ubiquitin-protein ligase RNF26	RNF26_HUMAN	0.000150784	79102	11	119334500	119337314	+
RNF31	Q96EP0	E3 ubiquitin-protein ligase RNF31	RNF31_HUMAN	7.18e-06	55072	14	24147450	24160661	+
RNF39	Q9H2S5	RING finger protein 39	RNF39_HUMAN	1.42e-11	80352	6	30070266	30075851	-
RNF40	O75150	E3 ubiquitin-protein ligase BRE1B	BRE1B_HUMAN	3.14e-08	9810	16	30761612	30802340	+
RNH1	P13489	Ribonuclease inhibitor	RINI_HUMAN	0.000135796	6050	11	494512	507283	-
RNMT	O43148	mRNA cap guanine-N7 methyltransferase	MCES_HUMAN	1.19e-14	8731	18	13726647	13764556	+
RNPEP	Q9H4A4	Aminopeptidase B	AMPB_HUMAN	1.07e-17	6051	1	201982638	202006147	+
RNPS1	Q15287	RNA-binding protein with serine-rich domain 1	RNPS1_HUMAN	1.45e-13	10921	16	2253116	2268412	-
RO60	P10155	RNA-binding protein RO60	RO60_HUMAN	7.76e-18					
ROCK1	Q13464	Rho-associated protein kinase 1	ROCK1_HUMAN	3.79e-23	6093	18	20949740	21111851	-
ROCK2	O75116	Rho-associated protein kinase 2	ROCK2_HUMAN	3.79e-23	9475	2	11179764	11345363	-
ROR2	Q01974	Tyrosine-protein kinase transmembrane receptor ROR2	ROR2_HUMAN	0.00052023	4920	9	91722596	91950162	-
RP2	O75695	Protein XRP2	XRP2_HUMAN	0.000763966	6102	X	46836912	46882358	+
RPA1	P27694	Replication protein A 70 kDa DNA-binding subunit	RFA1_HUMAN	3.63e-12	6117	17	1829979	1899554	+
RPA2	P15927	Replication protein A 32 kDa subunit	RFA2_HUMAN	4.22e-22	6118	1	27891524	27914797	-
RPA3	P35244	Replication protein A 14 kDa subunit	RFA3_HUMAN	1.31e-10	6119	7	7636944	7718607	-
RPAP3	Q9H6T3	RNA polymerase II-associated protein 3	RPAP3_HUMAN	4.91e-09	79657	12	47661932	47706061	-
RPF2	Q9H7B2	Ribosome production factor 2 homolog	RPF2_HUMAN	1.94e-05	84154	6	110982017	111028263	+
RPIA	P49247	Ribose-5-phosphate isomerase	RPIA_HUMAN	0.000272069	22934	2	88691648	88750935	+
RPL10	P27635	60S ribosomal protein L10	RL10_HUMAN	7.4e-17	6134	X	154398065	154402339	+
RPL10A	P62906	60S ribosomal protein L10a	RL10A_HUMAN	2.91e-18	4736	6	35468401	35470781	+
RPL11	P62913	60S ribosomal protein L11	RL11_HUMAN	7.98e-20	6135	1	23691779	23696425	+
RPL12	P30050	60S ribosomal protein L12	RL12_HUMAN	6.65e-16	6136	9	127447674	127451432	-
RPL13	P26373	60S ribosomal protein L13	RL13_HUMAN	7.4e-21	6137	16	89560657	89566829	+
RPL13A;RPL13AP3	P40429;Q6NVV1	60S ribosomal protein L13a;Putative 60S ribosomal protein L13a protein RPL13AP3	RL13A_HUMAN;R13P3_HUMAN	3.76e-17					
RPL14	P50914	60S ribosomal protein L14	RL14_HUMAN	1.59e-17	9045	3	40457292	40462372	+
RPL15	P61313	60S ribosomal protein L15	RL15_HUMAN	2.02e-08	6138	3	23916804	23923696	+
RPL17	P18621	60S ribosomal protein L17	RL17_HUMAN	7.21e-22	6139	18	49488481	49492565	-
RPL18	Q07020	60S ribosomal protein L18	RL18_HUMAN	1.83e-08	6141	19	48615327	48619418	-
RPL18A	Q02543	60S ribosomal protein L18a	RL18A_HUMAN	0.001866729	6142	19	17859878	17863324	+
RPL19	P84098	60S ribosomal protein L19	RL19_HUMAN	1.45e-12	6143	17	39200283	39204727	+
RPL21	P46778	60S ribosomal protein L21	RL21_HUMAN	1.69e-06	6144	13	27251555	27256568	+
RPL22	P35268	60S ribosomal protein L22	RL22_HUMAN	3.32e-07	6146	1	6185020	6199619	-
RPL23	P62829	60S ribosomal protein L23	RL23_HUMAN	1.56e-09	9349	17	38850068	38853800	-
RPL23A	P62750	60S ribosomal protein L23a	RL23A_HUMAN	1.83e-16	6147	17	28719982	28724356	+
RPL24	P83731	60S ribosomal protein L24	RL24_HUMAN	1e-17	6152	3	101681090	101686719	-
RPL26	P61254	60S ribosomal protein L26	RL26_HUMAN	0.000190926	6154	17	8377516	8383247	-
RPL27	P61353	60S ribosomal protein L27	RL27_HUMAN	3.33e-10	6155	17	42998429	43002959	+
RPL27A	P46776	60S ribosomal protein L27a	RL27A_HUMAN	3.28e-10	6157	11	8682448	8689872	+
RPL28	P46779	60S ribosomal protein L28	RL28_HUMAN	6.67e-14	6158	19	55385101	55403245	+
RPL29	P47914	60S ribosomal protein L29	RL29_HUMAN	3.79e-23	6159	3	51993628	51995942	-
RPL3	P39023	60S ribosomal protein L3	RL3_HUMAN	8.51e-19	6122	22	39312882	39319665	-
RPL30	P62888	60S ribosomal protein L30	RL30_HUMAN	2.77e-08	6156	8	98041710	98045590	-
